locus_tag	ftype	length_bp	gene	EC_number	COG	product
AHKFPPHE_00039	CDS	348				hypothetical protein
AHKFPPHE_00040	CDS	519				hypothetical protein
AHKFPPHE_00041	CDS	1869				hypothetical protein
AHKFPPHE_00042	CDS	207				hypothetical protein
AHKFPPHE_00043	CDS	1602				hypothetical protein
AHKFPPHE_00044	CDS	1326				hypothetical protein
AHKFPPHE_00045	CDS	372				hypothetical protein
AHKFPPHE_00046	CDS	1011				hypothetical protein
AHKFPPHE_00047	CDS	192				hypothetical protein
AHKFPPHE_00048	CDS	336				hypothetical protein
AHKFPPHE_00049	CDS	618				hypothetical protein
AHKFPPHE_00050	CDS	414				hypothetical protein
AHKFPPHE_00051	CDS	972				hypothetical protein
AHKFPPHE_00052	CDS	507				hypothetical protein
AHKFPPHE_00053	CDS	2709				hypothetical protein
AHKFPPHE_00054	CDS	351				hypothetical protein
AHKFPPHE_00055	CDS	384				hypothetical protein
AHKFPPHE_00056	CDS	1296				hypothetical protein
AHKFPPHE_00057	CDS	2490				hypothetical protein
AHKFPPHE_00058	CDS	273				hypothetical protein
AHKFPPHE_00059	CDS	129				hypothetical protein
AHKFPPHE_00060	tRNA	77				tRNA-Val(gac)
AHKFPPHE_00061	CDS	960				hypothetical protein
AHKFPPHE_00062	CDS	603	yceI_1		COG2353	Protein YceI
AHKFPPHE_00063	CDS	744				hypothetical protein
AHKFPPHE_00064	CDS	981				hypothetical protein
AHKFPPHE_00065	CDS	399				hypothetical protein
AHKFPPHE_00066	CDS	1920	mshA_1	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
AHKFPPHE_00067	CDS	948				hypothetical protein
AHKFPPHE_00068	CDS	873				hypothetical protein
AHKFPPHE_00069	CDS	417				hypothetical protein
AHKFPPHE_00070	CDS	837	gtaB	2.7.7.9	COG1210	UTP--glucose-1-phosphate uridylyltransferase
AHKFPPHE_00071	CDS	681	rspR		COG1802	HTH-type transcriptional repressor RspR
AHKFPPHE_00072	CDS	888	prpB	4.1.3.30	COG2513	2-methylisocitrate lyase
AHKFPPHE_00073	CDS	1134	prpC	2.3.3.5	COG0372	2-methylcitrate synthase
AHKFPPHE_00074	CDS	2625	acnM	4.2.1.3	COG1048	Aconitate hydratase A
AHKFPPHE_00075	CDS	1179	prpF	5.3.3.-	COG2828	2-methyl-aconitate isomerase
AHKFPPHE_00076	CDS	948				hypothetical protein
AHKFPPHE_00077	CDS	816			COG0204	putative protein
AHKFPPHE_00078	CDS	921	yeaD	5.1.3.15	COG0676	Putative glucose-6-phosphate 1-epimerase
AHKFPPHE_00079	CDS	762				hypothetical protein
AHKFPPHE_00080	CDS	930	hlyC	3.1.1.3	COG1075	Triacylglycerol lipase
AHKFPPHE_00081	CDS	1035	lifO			Lipase chaperone
AHKFPPHE_00082	CDS	1869	dnaX	2.7.7.7	COG2812	DNA polymerase III subunit tau
AHKFPPHE_00083	CDS	324	ybaB		COG0718	Nucleoid-associated protein YbaB
AHKFPPHE_00084	CDS	603	recR		COG0353	Recombination protein RecR
AHKFPPHE_00085	CDS	1152	rnd	3.1.13.5	COG0349	Ribonuclease D
AHKFPPHE_00086	CDS	294	ycgL			Protein YcgL
AHKFPPHE_00087	CDS	447				hypothetical protein
AHKFPPHE_00088	CDS	345				hypothetical protein
AHKFPPHE_00089	CDS	843				hypothetical protein
AHKFPPHE_00090	CDS	1179				hypothetical protein
AHKFPPHE_00091	CDS	1020				hypothetical protein
AHKFPPHE_00092	CDS	606				hypothetical protein
AHKFPPHE_00093	CDS	2799	bamD_1			Outer membrane protein assembly factor BamD
AHKFPPHE_00094	CDS	489				hypothetical protein
AHKFPPHE_00095	CDS	351				hypothetical protein
AHKFPPHE_00096	CDS	645				hypothetical protein
AHKFPPHE_00097	CDS	531				hypothetical protein
AHKFPPHE_00098	CDS	489				hypothetical protein
AHKFPPHE_00099	CDS	984				hypothetical protein
AHKFPPHE_00100	CDS	486	phaJ	4.2.1.119	COG2030	(R)-specific enoyl-CoA hydratase
AHKFPPHE_00101	CDS	1674	fadD_1	6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase
AHKFPPHE_00102	CDS	3933				hypothetical protein
AHKFPPHE_00103	CDS	1122		2.3.1.207	COG0332	Beta-ketodecanoyl-[acyl-carrier-protein] synthase
AHKFPPHE_00104	CDS	408				hypothetical protein
AHKFPPHE_00105	CDS	780	mlaA		COG2853	putative phospholipid-binding lipoprotein MlaA
AHKFPPHE_00106	CDS	1485				hypothetical protein
AHKFPPHE_00107	CDS	1689				hypothetical protein
AHKFPPHE_00108	CDS	702				hypothetical protein
AHKFPPHE_00109	CDS	2187	dinG	3.6.4.12	COG1199	putative ATP-dependent helicase DinG
AHKFPPHE_00110	CDS	2757	malT_1		COG2909	HTH-type transcriptional regulator MalT
AHKFPPHE_00111	CDS	978	cysB			HTH-type transcriptional regulator CysB
AHKFPPHE_00112	CDS	768	cysH	1.8.4.8	COG0175	Phosphoadenosine phosphosulfate reductase
AHKFPPHE_00113	CDS	615	thrH	3.1.3.3	COG0560	Phosphoserine phosphatase ThrH
AHKFPPHE_00114	CDS	1362	menF	5.4.4.2		Isochorismate synthase MenF
AHKFPPHE_00115	CDS	570				hypothetical protein
AHKFPPHE_00116	CDS	972				hypothetical protein
AHKFPPHE_00117	CDS	615				hypothetical protein
AHKFPPHE_00118	CDS	1035				hypothetical protein
AHKFPPHE_00119	CDS	2097	tgpA	2.3.2.13	COG1305	Protein-glutamine gamma-glutamyltransferase
AHKFPPHE_00120	CDS	1032	holB	2.7.7.7	COG0470	DNA polymerase III subunit delta'
AHKFPPHE_00121	CDS	351				hypothetical protein
AHKFPPHE_00122	CDS	921	menH_1	4.2.99.20		2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
AHKFPPHE_00123	CDS	912				hypothetical protein
AHKFPPHE_00124	CDS	1197			COG1752	putative NTE family protein
AHKFPPHE_00125	CDS	906	prmB	2.1.1.298	COG2890	50S ribosomal protein L3 glutamine methyltransferase
AHKFPPHE_00126	CDS	1095	aroC	4.2.3.5	COG0082	Chorismate synthase
AHKFPPHE_00127	CDS	1086	hcaT			putative 3-phenylpropionic acid transporter
AHKFPPHE_00128	CDS	387				hypothetical protein
AHKFPPHE_00129	CDS	150				hypothetical protein
AHKFPPHE_00130	CDS	882	cmpR_1		COG0583	HTH-type transcriptional activator CmpR
AHKFPPHE_00131	CDS	1419	leuC	4.2.1.33	COG0065	3-isopropylmalate dehydratase large subunit
AHKFPPHE_00132	CDS	648	leuD1	4.2.1.33	COG0066	3-isopropylmalate dehydratase small subunit 1
AHKFPPHE_00133	CDS	1074	leuB	1.1.1.85		3-isopropylmalate dehydrogenase
AHKFPPHE_00134	CDS	1083	asd	1.2.1.11	COG0136	Aspartate-semialdehyde dehydrogenase
AHKFPPHE_00135	CDS	3051				hypothetical protein
AHKFPPHE_00136	CDS	909	truA	5.4.99.12	COG0101	tRNA pseudouridine synthase A
AHKFPPHE_00137	CDS	630	trpF	5.3.1.24	COG0135	N-(5'-phosphoribosyl)anthranilate isomerase
AHKFPPHE_00138	CDS	1221	trpB	4.2.1.20	COG0133	Tryptophan synthase beta chain
AHKFPPHE_00139	CDS	810	trpA	4.2.1.20	COG0159	Tryptophan synthase alpha chain
AHKFPPHE_00140	CDS	930	accD	6.4.1.2	COG0777	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta
AHKFPPHE_00141	CDS	1311	folC	6.3.2.12	COG0285	Dihydrofolate synthase/folylpolyglutamate synthase
AHKFPPHE_00142	CDS	660	dedD			Cell division protein DedD
AHKFPPHE_00143	CDS	570				hypothetical protein
AHKFPPHE_00144	CDS	1524	purF	2.4.2.14	COG0034	Amidophosphoribosyltransferase
AHKFPPHE_00145	CDS	1224	metZ	2.5.1.-	COG0626	O-succinylhomoserine sulfhydrylase
AHKFPPHE_00146	CDS	2577	ftsK		COG1674	DNA translocase FtsK
AHKFPPHE_00147	CDS	678	lolA		COG2834	Outer-membrane lipoprotein carrier protein
AHKFPPHE_00148	CDS	1335	rarA		COG2256	Replication-associated recombination protein A
AHKFPPHE_00149	CDS	1275	serS	6.1.1.11	COG0172	Serine--tRNA ligase
AHKFPPHE_00150	CDS	813	cysG_1		COG0007	Siroheme synthase
AHKFPPHE_00151	CDS	1074	aroF_1	2.5.1.54	COG0722	Phospho-2-dehydro-3-deoxyheptonate aldolase, Tyr-sensitive
AHKFPPHE_00152	CDS	786	fabI	1.3.1.9	COG0623	Enoyl-[acyl-carrier-protein] reductase [NADH] FabI
AHKFPPHE_00153	CDS	1599	yejF		COG4172	putative ABC transporter ATP-binding protein YejF
AHKFPPHE_00154	CDS	1023	yejE		COG4239	Inner membrane ABC transporter permease protein YejE
AHKFPPHE_00155	CDS	1086	yejB		COG4174	Inner membrane ABC transporter permease protein YejB
AHKFPPHE_00156	CDS	1833				hypothetical protein
AHKFPPHE_00157	CDS	1740				hypothetical protein
AHKFPPHE_00158	CDS	795	gloB_1	3.1.2.6	COG0491	Hydroxyacylglutathione hydrolase GloB
AHKFPPHE_00159	CDS	801				hypothetical protein
AHKFPPHE_00160	CDS	444	rnhA	3.1.26.4	COG0328	Ribonuclease HI
AHKFPPHE_00161	CDS	711	dnaQ	2.7.7.7	COG0847	DNA polymerase III subunit epsilon
AHKFPPHE_00162	CDS	1707				hypothetical protein
AHKFPPHE_00163	CDS	315				hypothetical protein
AHKFPPHE_00164	CDS	1065	sohB	3.4.21.-	COG0616	putative protease SohB
AHKFPPHE_00165	CDS	507				hypothetical protein
AHKFPPHE_00166	CDS	1653	sir	1.8.7.1	COG0155	Sulfite reductase [ferredoxin]
AHKFPPHE_00167	CDS	243				hypothetical protein
AHKFPPHE_00168	CDS	3699	metH	2.1.1.13	COG0646	Methionine synthase
AHKFPPHE_00169	CDS	588	nfuA		COG0316	Fe/S biogenesis protein NfuA
AHKFPPHE_00170	CDS	1152				hypothetical protein
AHKFPPHE_00171	CDS	327	tusE	2.8.1.-	COG2920	Sulfurtransferase TusE
AHKFPPHE_00172	CDS	291	tusB			Protein TusB
AHKFPPHE_00173	CDS	351	tusC			Protein TusC
AHKFPPHE_00174	CDS	408	tusD	2.8.1.-	COG1553	Sulfurtransferase TusD
AHKFPPHE_00175	CDS	702	yccA		COG0670	Modulator of FtsH protease YccA
AHKFPPHE_00176	tRNA	91				tRNA-Ser(tga)
AHKFPPHE_00177	CDS	225				hypothetical protein
AHKFPPHE_00178	CDS	738				hypothetical protein
AHKFPPHE_00179	CDS	1113	hemH	4.99.1.1	COG0276	Ferrochelatase
AHKFPPHE_00180	CDS	429	blh	3.-.-.-	COG0491	Beta-lactamase hydrolase-like protein
AHKFPPHE_00181	CDS	468				hypothetical protein
AHKFPPHE_00182	CDS	438				hypothetical protein
AHKFPPHE_00183	CDS	423				hypothetical protein
AHKFPPHE_00184	CDS	630				hypothetical protein
AHKFPPHE_00185	CDS	813	xthA	3.1.11.2	COG0708	Exodeoxyribonuclease III
AHKFPPHE_00186	CDS	738				hypothetical protein
AHKFPPHE_00187	CDS	525				hypothetical protein
AHKFPPHE_00188	CDS	1275	ufaA1	2.1.1.-	COG2230	Tuberculostearic acid methyltransferase UfaA1
AHKFPPHE_00189	CDS	897				hypothetical protein
AHKFPPHE_00190	CDS	1266				hypothetical protein
AHKFPPHE_00191	CDS	789	hcaB_1	1.3.1.87		3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase
AHKFPPHE_00192	CDS	471				hypothetical protein
AHKFPPHE_00193	CDS	963				hypothetical protein
AHKFPPHE_00194	CDS	864		1.6.3.5	COG3380	Renalase
AHKFPPHE_00195	CDS	1485				hypothetical protein
AHKFPPHE_00196	CDS	1209	rssB_1			Regulator of RpoS
AHKFPPHE_00197	CDS	492				hypothetical protein
AHKFPPHE_00198	CDS	1062	gpsA	1.1.1.94		Glycerol-3-phosphate dehydrogenase [NAD(P)+]
AHKFPPHE_00199	CDS	450	sixA	3.1.3.-	COG2062	Phosphohistidine phosphatase SixA
AHKFPPHE_00200	CDS	897				hypothetical protein
AHKFPPHE_00201	CDS	567				hypothetical protein
AHKFPPHE_00202	CDS	462	slyD_1	5.2.1.8	COG1047	FKBP-type peptidyl-prolyl cis-trans isomerase SlyD
AHKFPPHE_00203	CDS	1653		1.5.5.1	COG0644	Electron transfer flavoprotein-ubiquinone oxidoreductase
AHKFPPHE_00204	CDS	750	etfB			Electron transfer flavoprotein subunit beta
AHKFPPHE_00205	CDS	942	etfA		COG2025	Electron transfer flavoprotein subunit alpha
AHKFPPHE_00206	CDS	456				hypothetical protein
AHKFPPHE_00207	CDS	330				hypothetical protein
AHKFPPHE_00208	CDS	1242		1.3.1.-	COG3268	Putative trans-acting enoyl reductase
AHKFPPHE_00209	CDS	1623			COG1132	putative ABC transporter ATP-binding protein
AHKFPPHE_00210	CDS	1680	cydD		COG4988	ATP-binding/permease protein CydD
AHKFPPHE_00211	CDS	1002	cydB	1.10.3.14	COG1294	Cytochrome bd-I ubiquinol oxidase subunit 2
AHKFPPHE_00212	CDS	1446				hypothetical protein
AHKFPPHE_00213	CDS	624	ubiE_1	2.1.1.163		Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE
AHKFPPHE_00214	tRNA	85				tRNA-Leu(taa)
AHKFPPHE_00215	CDS	384				hypothetical protein
AHKFPPHE_00216	CDS	264				hypothetical protein
AHKFPPHE_00217	CDS	186				hypothetical protein
AHKFPPHE_00218	CDS	741				hypothetical protein
AHKFPPHE_00219	CDS	1392				hypothetical protein
AHKFPPHE_00220	CDS	360				hypothetical protein
AHKFPPHE_00221	CDS	2442				hypothetical protein
AHKFPPHE_00222	CDS	213				hypothetical protein
AHKFPPHE_00223	CDS	204				hypothetical protein
AHKFPPHE_00224	CDS	276				hypothetical protein
AHKFPPHE_00225	CDS	633				hypothetical protein
AHKFPPHE_00226	CDS	1311				hypothetical protein
AHKFPPHE_00227	CDS	1536				hypothetical protein
AHKFPPHE_00228	CDS	792	echA8_1	4.2.1.17	COG1024	putative enoyl-CoA hydratase echA8
AHKFPPHE_00229	CDS	492				hypothetical protein
AHKFPPHE_00230	CDS	762	yadH_1		COG0842	Inner membrane transport permease YadH
AHKFPPHE_00231	CDS	921	yadG_1		COG1131	putative ABC transporter ATP-binding protein YadG
AHKFPPHE_00232	CDS	450				hypothetical protein
AHKFPPHE_00233	CDS	297				hypothetical protein
AHKFPPHE_00234	CDS	579				hypothetical protein
AHKFPPHE_00235	CDS	1467	phnE_1		COG3639	Phosphate-import permease protein PhnE
AHKFPPHE_00236	CDS	651	glnQ_1	3.6.3.-	COG1126	Glutamine transport ATP-binding protein GlnQ
AHKFPPHE_00237	CDS	879	phnD1		COG3221	putative ABC transporter phosphite binding protein PhnD1
AHKFPPHE_00238	CDS	972				hypothetical protein
AHKFPPHE_00239	CDS	615	rplU_1			50S ribosomal protein L21
AHKFPPHE_00240	CDS	399				hypothetical protein
AHKFPPHE_00241	CDS	1527				hypothetical protein
AHKFPPHE_00242	CDS	915				hypothetical protein
AHKFPPHE_00243	CDS	1875	recQ	3.6.4.12	COG0514	ATP-dependent DNA helicase RecQ
AHKFPPHE_00244	CDS	1206				hypothetical protein
AHKFPPHE_00245	CDS	2553	glgP_1	2.4.1.1	COG0058	Glycogen phosphorylase
AHKFPPHE_00246	CDS	1449	glgA	2.4.1.21	COG0297	Glycogen synthase
AHKFPPHE_00247	CDS	1896	glgB	2.4.1.18	COG0296	1,4-alpha-glucan branching enzyme GlgB
AHKFPPHE_00248	CDS	1266	glgC	2.7.7.27	COG0448	Glucose-1-phosphate adenylyltransferase
AHKFPPHE_00249	CDS	1728				hypothetical protein
AHKFPPHE_00250	CDS	1395	malQ	2.4.1.25	COG1640	4-alpha-glucanotransferase
AHKFPPHE_00251	CDS	360				hypothetical protein
AHKFPPHE_00252	CDS	771	cpnA	1.1.1.163		Cyclopentanol dehydrogenase
AHKFPPHE_00253	CDS	2505	glgP_2	2.4.1.1	COG0058	Glycogen phosphorylase
AHKFPPHE_00254	CDS	1395	trkI		COG0168	Trk system potassium uptake protein TrkI
AHKFPPHE_00255	CDS	540				hypothetical protein
AHKFPPHE_00256	CDS	1254	nhaD			Na(+)/H(+) antiporter NhaD
AHKFPPHE_00257	CDS	375				hypothetical protein
AHKFPPHE_00258	CDS	1269	xerC_1			Tyrosine recombinase XerC
AHKFPPHE_00259	CDS	1449	mqo_1	1.1.5.4	COG0579	Malate:quinone oxidoreductase
AHKFPPHE_00260	CDS	573				hypothetical protein
AHKFPPHE_00261	CDS	1056	adhc1	1.1.1.2	COG1064	NADP-dependent alcohol dehydrogenase C 1
AHKFPPHE_00262	CDS	969	fabH	2.3.1.180	COG0332	3-oxoacyl-[acyl-carrier-protein] synthase 3
AHKFPPHE_00263	CDS	1002	cysP		COG4150	Thiosulfate-binding protein
AHKFPPHE_00264	CDS	873	cysT		COG0555	Sulfate transport system permease protein CysT
AHKFPPHE_00265	CDS	858	cysW		COG4208	Sulfate transport system permease protein CysW
AHKFPPHE_00266	CDS	1122	cysA_1	3.6.3.25	COG1118	Sulfate/thiosulfate import ATP-binding protein CysA
AHKFPPHE_00267	CDS	1497		1.14.13.-	COG2072	Baeyer-Villiger monooxygenase
AHKFPPHE_00268	CDS	675	lutR		COG2186	HTH-type transcriptional regulator LutR
AHKFPPHE_00269	CDS	1002				hypothetical protein
AHKFPPHE_00270	CDS	666				hypothetical protein
AHKFPPHE_00271	CDS	2220	btuB_1			Vitamin B12 transporter BtuB
AHKFPPHE_00272	CDS	984				hypothetical protein
AHKFPPHE_00273	CDS	1515	barA_1	2.7.13.3	COG0784	Signal transduction histidine-protein kinase BarA
AHKFPPHE_00274	CDS	1362	garB	1.8.1.16		Glutathione amide reductase
AHKFPPHE_00275	CDS	534				hypothetical protein
AHKFPPHE_00276	CDS	1308	epsL_1		COG3297	Type II secretion system protein L
AHKFPPHE_00277	CDS	990	gspK		COG3156	Putative type II secretion system protein K
AHKFPPHE_00278	CDS	756	xcpW		COG4795	Type II secretion system protein J
AHKFPPHE_00279	CDS	378	xcpV		COG2165	Type II secretion system protein I
AHKFPPHE_00280	CDS	531				hypothetical protein
AHKFPPHE_00281	CDS	465	xcpT		COG2165	Type II secretion system protein G
AHKFPPHE_00282	CDS	1212	epsF_1		COG1459	Type II secretion system protein F
AHKFPPHE_00283	CDS	1509	epsE		COG2804	Type II secretion system protein E
AHKFPPHE_00284	CDS	654				hypothetical protein
AHKFPPHE_00285	CDS	672				hypothetical protein
AHKFPPHE_00286	CDS	1392	arpC		COG1538	Antibiotic efflux pump outer membrane protein ArpC
AHKFPPHE_00287	CDS	1941	macB	3.6.3.-	COG0577	Macrolide export ATP-binding/permease protein MacB
AHKFPPHE_00288	CDS	1146	macA		COG0845	Macrolide export protein MacA
AHKFPPHE_00289	CDS	2352				hypothetical protein
AHKFPPHE_00290	CDS	207	cspV		COG1278	Cold shock protein CspV
AHKFPPHE_00291	CDS	2763				hypothetical protein
AHKFPPHE_00292	CDS	810				hypothetical protein
AHKFPPHE_00293	CDS	855	rlmA	2.1.1.187	COG0500	23S rRNA (guanine(745)-N(1))-methyltransferase
AHKFPPHE_00294	CDS	1986				hypothetical protein
AHKFPPHE_00295	CDS	2916		1.17.1.9		Putative formate dehydrogenase
AHKFPPHE_00296	CDS	1644				hypothetical protein
AHKFPPHE_00297	CDS	93				hypothetical protein
AHKFPPHE_00298	CDS	615				hypothetical protein
AHKFPPHE_00299	CDS	858				hypothetical protein
AHKFPPHE_00300	CDS	1425				hypothetical protein
AHKFPPHE_00301	CDS	1497				hypothetical protein
AHKFPPHE_00302	CDS	624				hypothetical protein
AHKFPPHE_00303	CDS	828				hypothetical protein
AHKFPPHE_00304	CDS	2073	vgrG1_1	6.3.2.-	COG3501	Actin cross-linking toxin VgrG1
AHKFPPHE_00305	CDS	1362				hypothetical protein
AHKFPPHE_00306	CDS	609				hypothetical protein
AHKFPPHE_00307	CDS	429				hypothetical protein
AHKFPPHE_00308	CDS	801				hypothetical protein
AHKFPPHE_00309	CDS	729				putative transcriptional regulatory protein
AHKFPPHE_00310	CDS	747				hypothetical protein
AHKFPPHE_00311	CDS	1446	clsB	2.7.8.-		Cardiolipin synthase B
AHKFPPHE_00312	CDS	402				hypothetical protein
AHKFPPHE_00313	CDS	996				hypothetical protein
AHKFPPHE_00314	CDS	678	ubiG_1	2.1.1.222		Ubiquinone biosynthesis O-methyltransferase
AHKFPPHE_00315	CDS	1023				putative HTH-type transcriptional regulator
AHKFPPHE_00316	CDS	1827				hypothetical protein
AHKFPPHE_00317	CDS	870				hypothetical protein
AHKFPPHE_00318	CDS	1080	aes	3.1.1.-		Acetyl esterase
AHKFPPHE_00319	CDS	606	argO		COG1279	Arginine exporter protein ArgO
AHKFPPHE_00320	CDS	570				hypothetical protein
AHKFPPHE_00321	CDS	855	caiD	4.2.1.149	COG1024	Carnitinyl-CoA dehydratase
AHKFPPHE_00322	CDS	975	rnz	3.1.26.11	COG1234	Ribonuclease Z
AHKFPPHE_00323	CDS	834	mtfA		COG3228	Protein MtfA
AHKFPPHE_00324	CDS	228				hypothetical protein
AHKFPPHE_00325	CDS	2193				hypothetical protein
AHKFPPHE_00326	CDS	894	yegS	2.7.1.-		lipid kinase YegS
AHKFPPHE_00327	CDS	270				hypothetical protein
AHKFPPHE_00328	CDS	378				hypothetical protein
AHKFPPHE_00329	CDS	744				hypothetical protein
AHKFPPHE_00330	CDS	546				hypothetical protein
AHKFPPHE_00331	CDS	1125	bkdB	2.3.1.168	COG0508	Lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex
AHKFPPHE_00332	CDS	1005	pdhB	1.2.4.1	COG0022	Pyruvate dehydrogenase E1 component subunit beta
AHKFPPHE_00333	CDS	1080	pdhA	1.2.4.1		Pyruvate dehydrogenase E1 component subunit alpha
AHKFPPHE_00334	CDS	720				hypothetical protein
AHKFPPHE_00335	CDS	339				hypothetical protein
AHKFPPHE_00336	CDS	453				hypothetical protein
AHKFPPHE_00337	CDS	1788		3.6.3.-		Putative multidrug export ATP-binding/permease protein
AHKFPPHE_00338	CDS	774	fhuC	3.6.3.34	COG1120	Iron(3+)-hydroxamate import ATP-binding protein FhuC
AHKFPPHE_00339	CDS	927	fhuD		COG0614	Iron(3+)-hydroxamate-binding protein FhuD
AHKFPPHE_00340	CDS	2031	fhuB		COG0609	Iron(3+)-hydroxamate import system permease protein FhuB
AHKFPPHE_00341	CDS	762				hypothetical protein
AHKFPPHE_00342	CDS	2178	fhuE		COG4773	FhuE receptor
AHKFPPHE_00343	CDS	1122	yliI	1.1.5.-	COG2133	Aldose sugar dehydrogenase YliI
AHKFPPHE_00344	CDS	414				hypothetical protein
AHKFPPHE_00345	CDS	771				hypothetical protein
AHKFPPHE_00346	CDS	1566				hypothetical protein
AHKFPPHE_00347	CDS	249				hypothetical protein
AHKFPPHE_00348	CDS	867				hypothetical protein
AHKFPPHE_00349	CDS	771	fabG_1	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
AHKFPPHE_00350	CDS	690				hypothetical protein
AHKFPPHE_00351	CDS	1065				hypothetical protein
AHKFPPHE_00352	CDS	822	ephD	1.-.-.-	COG1028	putative oxidoreductase EphD
AHKFPPHE_00353	CDS	1212	bbsG_1	1.3.8.3		(R)-benzylsuccinyl-CoA dehydrogenase
AHKFPPHE_00354	CDS	903	pcpR_1			PCP degradation transcriptional activation protein
AHKFPPHE_00355	CDS	357				hypothetical protein
AHKFPPHE_00356	CDS	1155	dmlA	1.1.1.83	COG0473	D-malate dehydrogenase [decarboxylating]
AHKFPPHE_00357	CDS	1260	davT	2.6.1.48	COG0160	5-aminovalerate aminotransferase DavT
AHKFPPHE_00358	CDS	570				hypothetical protein
AHKFPPHE_00359	CDS	1227	aspC	2.6.1.1	COG0436	Aspartate aminotransferase
AHKFPPHE_00360	CDS	981	ghrA_1	1.1.1.79		Glyoxylate/hydroxypyruvate reductase A
AHKFPPHE_00361	CDS	1098				hypothetical protein
AHKFPPHE_00362	CDS	666	degU		COG2197	Transcriptional regulatory protein DegU
AHKFPPHE_00363	CDS	1950	acs	6.2.1.1	COG0365	Acetyl-coenzyme A synthetase
AHKFPPHE_00364	CDS	1539				hypothetical protein
AHKFPPHE_00365	CDS	654	ubiE_2	2.1.1.163		Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE
AHKFPPHE_00366	CDS	1008				hypothetical protein
AHKFPPHE_00367	CDS	819	murI	5.1.1.3	COG0796	Glutamate racemase
AHKFPPHE_00368	CDS	825	nudC	3.6.1.22		NADH pyrophosphatase
AHKFPPHE_00369	CDS	2472	plsB	2.3.1.15	COG2937	Glycerol-3-phosphate acyltransferase
AHKFPPHE_00370	CDS	792	rsmJ	2.1.1.242		Ribosomal RNA small subunit methyltransferase J
AHKFPPHE_00371	CDS	702	tsaB		COG1214	tRNA threonylcarbamoyladenosine biosynthesis protein TsaB
AHKFPPHE_00372	CDS	654	adk	2.7.4.3		Adenylate kinase
AHKFPPHE_00373	CDS	1377				hypothetical protein
AHKFPPHE_00374	CDS	2646	ppc	4.1.1.31	COG2352	Phosphoenolpyruvate carboxylase
AHKFPPHE_00375	CDS	846	mazG	3.6.1.8	COG1694	Nucleoside triphosphate pyrophosphohydrolase
AHKFPPHE_00376	CDS	2238	relA	2.7.6.5	COG0317	GTP pyrophosphokinase
AHKFPPHE_00377	CDS	1350	rlmD	2.1.1.190	COG2265	23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD
AHKFPPHE_00378	CDS	894	cysM	2.5.1.47	COG0031	Cysteine synthase B
